iq,cgpa,10th_marks,12th_marks,communication_skills,placed
107,7.08,73.22,73.28,7.5,1
98,7.05,76.95,74.61,7.4,0
110,5.7,74.03,75.77,5.6,1
123,7.17,81.1,86.36,7.9,0
96,8.23,91.97,66.03,4.8,1
96,6.23,72.29,64.84,6,1
124,8.55,90.01,89.84,4,0
112,7.99,72.18,69.45,9.3,0
93,6.77,71.52,59.84,6.7,1
108,7.36,88.19,69.18,10,0
93,9.1,89.22,71.04,8.2,1
93,8.23,88.51,93.66,7.7,0
104,7.51,66.84,86.1,6.1,1
71,7.26,75.34,88.77,5.4,1
74,7.58,88.23,84.84,7.8,0
92,6.99,80.42,86.35,6.9,1
85,5.4,69.26,66.74,5,1
105,9.54,84.58,72.62,4.7,1
86,7.66,72.85,63.12,5.6,1
79,7.9,97.95,72.47,9.7,0
122,7.44,95.45,83.21,10,1
97,6.76,86.04,76.61,7.3,0
101,7.31,93.61,90.74,7.2,1
79,5.9,80.65,61.3,6.5,0
92,9.78,87.65,81,5.6,1
102,6.27,94.78,60.02,9.1,0
83,6.47,82.45,76.13,9.8,1
106,7.06,77.45,83.88,5.7,1
91,8.79,62.95,72.43,6.9,1
96,7.51,79.17,81.61,6.3,0
91,6.26,88.23,63.48,6.4,1
128,8.75,89.46,55.04,8.8,0
100,8.23,85.04,81.68,5,1
84,8.04,74.59,95.93,7.7,1
112,8.22,60.23,63.05,8.1,1
82,9.89,75.05,89.67,6.8,1
103,9.69,76.96,75.52,8.3,1
71,6.81,76.87,58.97,7.2,0
80,9.12,86.19,61.42,8.8,1
103,7.88,99.86,75.19,4.7,1
111,8,81.24,70.15,6.5,1
103,5.81,77.83,59.25,6.9,1
98,7.33,77.41,54.67,3,1
95,6.69,81.24,64.84,5.4,0
78,8.33,71.72,77.33,5.8,1
89,8.57,81.2,74.92,8.4,0
93,5.43,84.51,68.99,5.9,1
116,7.48,82.1,77.42,5.8,1
105,8.62,84.58,87.48,8.2,1
74,7.31,84.34,79.73,4.6,1
105,8.23,62.28,73.54,3.9,1
94,7.85,86.37,86.14,6.5,1
90,7.84,73.29,63.48,4.8,1
109,7.23,69.04,72.3,4.9,0
115,6.28,68.96,72.59,7.9,1
114,6.38,84.34,60.16,8.3,0
87,8.21,77.77,69.96,8.2,1
95,7.52,63.18,50.1,8.7,0
105,7.36,84.78,97.95,8.9,1
115,7.08,65.6,63.75,3.8,1
93,7.19,81.4,94.03,7.7,0
97,8.55,82.38,75.46,6.2,1
83,7.16,88.86,81.78,5.9,0
82,6.16,97.82,69.13,7.8,0
112,8.24,66.35,77.5,4.4,1
120,7.3,79.48,82.81,4.4,0
